owner,name,stars,forks,language,release_count,contributors,avg_release_interval,release_type,reason
jesseduffield,lazygit,67331,2314,Go,172,37800,24.3,RAPID,24.3 dias entre releases
infiniflow,ragflow,67136,7149,Python,34,37100,18.0,RAPID,18.0 dias entre releases
Eugeny,tabby,67013,3744,TypeScript,202,17300,16.7,RAPID,16.7 dias entre releases
ansible,ansible,66928,24116,Python,183,691400,10.6,RAPID,10.6 dias entre releases
nektos,act,66807,1771,Go,90,21100,31.4,RAPID,31.4 dias entre releases
firecrawl,firecrawl,66435,5195,TypeScript,29,12100,14.4,RAPID,14.4 dias entre releases
AppFlowy-IO,AppFlowy,66336,4700,Dart,117,37400,12.6,RAPID,12.6 dias entre releases
webpack,webpack,65740,9167,JavaScript,440,95600,9.5,RAPID,9.5 dias entre releases
OpenHands,OpenHands,64716,7865,Python,90,40200,5.7,RAPID,5.7 dias entre releases
facebook,docusaurus,62507,9518,TypeScript,154,127400,21.8,RAPID,21.8 dias entre releases
vllm-project,vllm,62140,11045,Python,75,175000,13.0,RAPID,13.0 dias entre releases
FuelLabs,sway,62123,5431,Rust,183,15300,10.2,RAPID,10.2 dias entre releases
hiyouga,LLaMA-Factory,61868,7481,Python,34,22400,22.1,RAPID,22.1 dias entre releases
localstack,localstack,61341,4298,Python,100,63700,33.0,RAPID,33.0 dias entre releases
prometheus,prometheus,61124,9905,Go,349,126700,11.9,RAPID,11.9 dias entre releases
alacritty,alacritty,60920,3228,Rust,105,46800,28.4,RAPID,28.4 dias entre releases
atom,atom,60844,17321,JavaScript,538,64300,9.1,RAPID,9.1 dias entre releases
openinterpreter,open-interpreter,60785,5212,Python,48,13100,11.2,RAPID,11.2 dias entre releases
gorhill,uBlock,59569,3795,JavaScript,281,12600,16.3,RAPID,16.3 dias entre releases
FoundationAgents,MetaGPT,59207,7194,Python,22,14700,29.4,RAPID,29.4 dias entre releases
spring-projects,spring-framework,59115,38819,Java,347,120100,29.7,RAPID,29.7 dias entre releases
nuxt,nuxt,58705,5422,TypeScript,266,124300,16.8,RAPID,16.8 dias entre releases
nocodb,nocodb,58587,4331,TypeScript,179,33400,17.6,RAPID,17.6 dias entre releases
minio,minio,57849,6423,Go,521,53200,6.8,RAPID,6.8 dias entre releases
rails,rails,57813,22021,Ruby,159,686000,31.4,RAPID,31.4 dias entre releases
jgraph,drawio-desktop,57697,5480,JavaScript,163,1600,20.2,RAPID,20.2 dias entre releases
traefik,traefik,57519,5545,Go,488,99800,11.0,RAPID,11.0 dias entre releases
FuelLabs,fuel-core,57480,2856,Rust,124,6800,13.0,RAPID,13.0 dias entre releases
topjohnwu,Magisk,56776,15817,Rust,153,32900,33.3,RAPID,33.3 dias entre releases
soimort,you-get,56533,9801,Python,123,26400,34.9,RAPID,34.9 dias entre releases
gatsbyjs,gatsby,55939,10268,JavaScript,156,437100,24.9,RAPID,24.9 dias entre releases
