owner,name,full_name,stargazer_count,fork_count,language,total_releases,avg_release_interval_days,release_type,collaborator_count,sonarqube_analyzed,sonarqube_analyzed_at,bugs,vulnerabilities,code_smells,sqale_index,coverage,duplicated_lines_density,ncloc,complexity,cognitive_complexity,reliability_rating,security_rating,sqale_rating,alert_status
rsms,inter,rsms/inter,18975,440,Python,70,15.5,rapid,2700,False,,,,,,,,,,,,,,
vuejs,vue-router,vuejs/vue-router,18952,5038,JavaScript,90,11.0,rapid,29000,False,,,,,,,,,,,,,,
wulkano,Kap,wulkano/Kap,18951,856,TypeScript,43,29.0,rapid,5600,False,,,,,,,,,,,,,,
joke2k,faker,joke2k/faker,18888,2029,Python,349,6.0,rapid,63700,False,,,,,,,,,,,,,,
facebook,relay,facebook/relay,18885,1874,Rust,90,28.0,rapid,97800,False,,,,,,,,,,,,,,
datalab-to,surya,datalab-to/surya,18883,1289,Python,80,6.0,rapid,1700,False,,,,,,,,,,,,,,
subquery,subql,subquery/subql,18881,388,TypeScript,1037,5.0,rapid,6000,False,,,,,,,,,,,,,,
Avaiga,taipy,Avaiga/taipy,18879,1962,Python,182,20.0,rapid,9000,False,,,,,,,,,,,,,,
barryvdh,laravel-debugbar,barryvdh/laravel-debugbar,18863,1593,PHP,108,19.0,rapid,23700,False,,,,,,,,,,,,,,
Unity-Technologies,ml-agents,Unity-Technologies/ml-agents,18855,4387,C#,63,21.0,rapid,17400,False,,,,,,,,,,,,,,
goauthentik,authentik,goauthentik/authentik,18819,1359,Python,307,5.0,rapid,45100,False,,,,,,,,,,,,,,
rrweb-io,rrweb,rrweb-io/rrweb,18801,1590,TypeScript,135,34.0,rapid,13400,False,,,,,,,,,,,,,,
swoole,swoole-src,swoole/swoole-src,18787,3157,C++,254,12.0,rapid,21500,False,,,,,,,,,,,,,,
monkeytypegame,monkeytype,monkeytypegame/monkeytype,18775,2890,TypeScript,238,6.0,rapid,111300,False,,,,,,,,,,,,,,
Rigellute,spotify-tui,Rigellute/spotify-tui,18759,566,Rust,32,15.0,rapid,10600,False,,,,,,,,,,,,,,
peass-ng,PEASS-ng,peass-ng/PEASS-ng,18743,3313,C#,301,7.0,rapid,12200,False,,,,,,,,,,,,,,
m-bain,whisperX,m-bain/whisperX,18723,1989,Python,24,6.0,rapid,10800,False,,,,,,,,,,,,,,
decaporg,decap-cms,decaporg/decap-cms,18690,3103,JavaScript,185,9.0,rapid,59200,False,,,,,,,,,,,,,,
RikkaApps,Shizuku,RikkaApps/Shizuku,18683,1591,Kotlin,59,14.0,rapid,13300,False,,,,,,,,,,,,,,
baidu,amis,baidu/amis,18661,2699,TypeScript,104,22.0,rapid,33800,False,,,,,,,,,,,,,,
pyscript,pyscript,pyscript/pyscript,18634,1484,Python,43,18.0,rapid,12400,False,,,,,,,,,,,,,,
clockworklabs,SpacetimeDB,clockworklabs/SpacetimeDB,18621,643,Rust,34,22.0,rapid,7800,False,,,,,,,,,,,,,,
alibaba,ice,alibaba/ice,18618,2123,TypeScript,134,10.0,rapid,8500,False,,,,,,,,,,,,,,
nats-io,nats-server,nats-io/nats-server,18580,1679,Go,237,9.5,rapid,20900,False,,,,,,,,,,,,,,
sanic-org,sanic,sanic-org/sanic,18560,1582,Python,74,32.5,rapid,35600,False,,,,,,,,,,,,,,
google,cadvisor,google/cadvisor,18555,2418,Go,111,25.0,rapid,36700,False,,,,,,,,,,,,,,
uikit,uikit,uikit/uikit,18512,2322,HTML,362,10.0,rapid,4400,False,,,,,,,,,,,,,,
uNetworking,uWebSockets,uNetworking/uWebSockets,18511,1829,C++,211,7.5,rapid,5700,False,,,,,,,,,,,,,,
framework7io,framework7,framework7io/framework7,18504,3228,JavaScript,167,7.0,rapid,17500,False,,,,,,,,,,,,,,
bee-san,RustScan,bee-san/RustScan,18472,1231,Rust,22,13.0,rapid,8400,False,,,,,,,,,,,,,,
eza-community,eza,eza-community/eza,18414,350,Rust,95,6.0,rapid,31100,False,,,,,,,,,,,,,,
adonisjs,core,adonisjs/core,18408,656,TypeScript,219,8.0,rapid,6900,False,,,,,,,,,,,,,,
bettercap,bettercap,bettercap/bettercap,18404,1589,Go,55,17.0,rapid,9900,False,,,,,,,,,,,,,,
dropzone,dropzone,dropzone/dropzone,18389,3283,JavaScript,44,33.0,rapid,8800,False,,,,,,,,,,,,,,
microsoft,onnxruntime,microsoft/onnxruntime,18383,3542,C++,63,35.0,rapid,83400,False,,,,,,,,,,,,,,
dromara,Sa-Token,dromara/Sa-Token,18330,2850,Java,38,27.0,rapid,12800,False,,,,,,,,,,,,,,
fastapi,typer,fastapi/typer,18290,803,Python,60,11.0,rapid,9000,False,,,,,,,,,,,,,,
teambit,bit,teambit/bit,18285,944,TypeScript,151,11.0,rapid,8700,False,,,,,,,,,,,,,,
youzan,vant-weapp,youzan/vant-weapp,18275,3494,JavaScript,55,14.0,rapid,18900,False,,,,,,,,,,,,,,
Tencent,APIJSON,Tencent/APIJSON,18271,2263,Java,110,19.0,rapid,8800,False,,,,,,,,,,,,,,
mastra-ai,mastra,mastra-ai/mastra,18260,1282,TypeScript,36,6.0,rapid,25600,False,,,,,,,,,,,,,,
Flowseal,zapret-discord-youtube,Flowseal/zapret-discord-youtube,18210,1314,Batchfile,29,12.0,rapid,2300,False,,,,,,,,,,,,,,
wangeditor-team,wangEditor,wangeditor-team/wangEditor,18190,3350,TypeScript,20,14.0,rapid,5800,False,,,,,,,,,,,,,,
kyleneideck,BackgroundMusic,kyleneideck/BackgroundMusic,18159,724,C++,44,14.0,rapid,4200,False,,,,,,,,,,,,,,
iv-org,invidious,iv-org/invidious,18153,2039,Crystal,32,21.0,rapid,33600,False,,,,,,,,,,,,,,
gradle,gradle,gradle/gradle,18134,5041,Groovy,303,8.0,rapid,99700,False,,,,,,,,,,,,,,
conventional-changelog,commitlint,conventional-changelog/commitlint,18086,949,TypeScript,171,14.0,rapid,27700,False,,,,,,,,,,,,,,
browsh-org,browsh,browsh-org/browsh,18078,448,JavaScript,44,6.0,rapid,3500,False,,,,,,,,,,,,,,
fastfetch-cli,fastfetch,fastfetch-cli/fastfetch,18052,617,C,161,8.0,rapid,20400,False,,,,,,,,,,,,,,
Skyvern-AI,skyvern,Skyvern-AI/skyvern,17992,1540,Python,103,5.0,rapid,6800,False,,,,,,,,,,,,,,
golangci,golangci-lint,golangci/golangci-lint,17977,1515,Go,174,11.0,rapid,38100,False,,,,,,,,,,,,,,
plotly,plotly.py,plotly/plotly.py,17971,2746,Python,99,25.0,rapid,29700,False,,,,,,,,,,,,,,
matryer,xbar,matryer/xbar,17957,650,Go,69,9.0,rapid,9000,False,,,,,,,,,,,,,,
Rem0o,FanControl.Releases,Rem0o/FanControl.Releases,17955,532,Unknown,188,9.0,rapid,1700,False,,,,,,,,,,,,,,
plotly,plotly.js,plotly/plotly.js,17954,1943,JavaScript,270,8.5,rapid,30600,False,,,,,,,,,,,,,,
nosir,cleave.js,nosir/cleave.js,17933,1600,JavaScript,66,7.0,rapid,7800,False,,,,,,,,,,,,,,
soxoj,maigret,soxoj/maigret,17927,1234,Python,23,16.0,rapid,4700,False,,,,,,,,,,,,,,
emotion-js,emotion,emotion-js/emotion,17923,1138,JavaScript,573,12.0,rapid,32800,False,,,,,,,,,,,,,,
ionic-team,ionicons,ionic-team/ionicons,17917,2060,TypeScript,76,25.0,rapid,6000,False,,,,,,,,,,,,,,
wasp-lang,wasp,wasp-lang/wasp,17914,1401,TypeScript,143,10.0,rapid,10700,False,,,,,,,,,,,,,,
docmost,docmost,docmost/docmost,17907,995,TypeScript,40,7.0,rapid,3700,False,,,,,,,,,,,,,,
huggingface,sentence-transformers,huggingface/sentence-transformers,17861,2714,Python,57,20.5,rapid,24300,False,,,,,,,,,,,,,,
so-fancy,diff-so-fancy,so-fancy/diff-so-fancy,17857,338,Perl,36,17.0,rapid,8800,False,,,,,,,,,,,,,,
