owner,name,stars,forks,language,release_count,contributors,median_release_interval,release_type,reason
AlDanial,cloc,22020,1084,Perl,23,13600,174.0,SLOW,174.0 dias (mediana) entre releases
iovisor,bcc,21940,4017,C,27,70200,71,SLOW,71 dias (mediana) entre releases
pugjs,pug,21837,1948,JavaScript,25,25100,397.5,SLOW,397.5 dias (mediana) entre releases
Seldaek,monolog,21356,1904,PHP,74,55700,54,SLOW,54 dias (mediana) entre releases
HandBrake,HandBrake,21343,1533,C,51,15000,51.5,SLOW,51.5 dias (mediana) entre releases
micropython,micropython,21094,8532,C,24,70500,123,SLOW,123 dias (mediana) entre releases
pqrs-org,Karabiner-Elements,20970,882,C++,45,5100,51.0,SLOW,51.0 dias (mediana) entre releases
jarun,nnn,20839,785,C,42,21200,56.5,SLOW,56.5 dias (mediana) entre releases
apache,mxnet,20832,6752,C++,34,98600,64,SLOW,64 dias (mediana) entre releases
mybatis,mybatis-3,20286,12959,Java,46,28300,108,SLOW,108 dias (mediana) entre releases
ReactiveX,RxAndroid,20187,2952,Java,20,8000,69,SLOW,69 dias (mediana) entre releases
getsops,sops,19939,981,Go,32,18900,60,SLOW,60 dias (mediana) entre releases
qax-os,excelize,19923,1851,Go,25,28800,116.0,SLOW,116.0 dias (mediana) entre releases
onnx,onnx,19876,3827,Python,34,36500,76.5,SLOW,76.5 dias (mediana) entre releases
facebook,prophet,19783,4642,Python,23,18800,143.0,SLOW,143.0 dias (mediana) entre releases
ahmetb,kubectx,19198,1342,Go,21,6400,82.5,SLOW,82.5 dias (mediana) entre releases
antlr,antlr4,18508,3410,Java,31,42100,106,SLOW,106 dias (mediana) entre releases
facebook,yoga,18424,1504,C++,33,31700,52,SLOW,52 dias (mediana) entre releases
Orange-OpenSource,hurl,18109,694,Rust,28,8700,53,SLOW,53 dias (mediana) entre releases
tj,git-extras,17861,1221,Shell,25,28700,181.0,SLOW,181.0 dias (mediana) entre releases
microsoft,LightGBM,17839,3963,C++,34,33400,61,SLOW,61 dias (mediana) entre releases
reduxjs,redux-thunk,17739,1029,TypeScript,20,5400,75,SLOW,75 dias (mediana) entre releases
RPCS3,rpcs3,17685,2137,C++,40,36600,62,SLOW,62 dias (mediana) entre releases
aframevr,aframe,17388,4249,JavaScript,32,44500,63,SLOW,63 dias (mediana) entre releases
apache,brpc,17371,4072,C++,24,28200,92,SLOW,92 dias (mediana) entre releases
pytorch,vision,17313,7176,Python,51,66400,63.0,SLOW,63.0 dias (mediana) entre releases
baomidou,mybatis-plus,17193,4425,Java,38,24700,65.0,SLOW,65.0 dias (mediana) entre releases
OpenEmu,OpenEmu,17023,1308,Swift,27,12700,98,SLOW,98 dias (mediana) entre releases
tinygo-org,tinygo,16830,996,Go,47,21900,50.5,SLOW,50.5 dias (mediana) entre releases
leon-ai,leon,16788,1410,TypeScript,20,2100,58,SLOW,58 dias (mediana) entre releases
upx,upx,16739,1466,C++,20,2100,81.5,SLOW,81.5 dias (mediana) entre releases
kubesphere,kubesphere,16714,2705,Go,28,17600,100,SLOW,100 dias (mediana) entre releases
desandro,masonry,16670,2093,HTML,22,900,85,SLOW,85 dias (mediana) entre releases
upptime,upptime,16655,999,JSON,39,2200,64,SLOW,64 dias (mediana) entre releases
uvdesk,community-skeleton,16611,544,CSS,24,4500,62.0,SLOW,62.0 dias (mediana) entre releases
slackhq,nebula,16479,1075,Go,23,7500,85.5,SLOW,85.5 dias (mediana) entre releases
asciinema,asciinema,16348,983,Rust,23,6200,95.5,SLOW,95.5 dias (mediana) entre releases
sqlc-dev,sqlc,16322,966,Go,36,23900,55.5,SLOW,55.5 dias (mediana) entre releases
piskvorky,gensim,16270,4420,Python,44,46200,54,SLOW,54 dias (mediana) entre releases
fatih,vim-go,16204,1430,Vim Script,44,39000,59,SLOW,59 dias (mediana) entre releases
mattboldt,typed.js,16195,1772,JavaScript,24,4200,54,SLOW,54 dias (mediana) entre releases
flarum,flarum,16087,1666,PHP,27,3200,115,SLOW,115 dias (mediana) entre releases
fail2ban,fail2ban,15967,1409,Python,29,28900,128,SLOW,128 dias (mediana) entre releases
adobe-fonts,source-han-sans,15935,1364,Python,20,500,155,SLOW,155 dias (mediana) entre releases
MaterialDesignInXAML,MaterialDesignInXamlToolkit,15893,3487,C#,44,21100,70,SLOW,70 dias (mediana) entre releases
janeczku,calibre-web,15877,1671,Fluent,25,29100,80.0,SLOW,80.0 dias (mediana) entre releases
tc39,ecma262,15535,1373,HTML,28,20100,76.5,SLOW,76.5 dias (mediana) entre releases
davatorium,rofi,15335,661,C,43,18000,52.0,SLOW,52.0 dias (mediana) entre releases
go-sql-driver,mysql,15272,2334,Go,22,16600,128.0,SLOW,128.0 dias (mediana) entre releases
jpillora,chisel,15244,1542,Go,33,4100,57,SLOW,57 dias (mediana) entre releases
lsd-rs,lsd,15063,469,Rust,31,18000,71,SLOW,71 dias (mediana) entre releases
polybar,polybar,15022,720,C++,24,17300,83,SLOW,83 dias (mediana) entre releases
apprenticeharper,DeDRM_tools,14982,1581,Python,81,7100,52.0,SLOW,52.0 dias (mediana) entre releases
lra,mackup,14953,940,Python,32,48700,72,SLOW,72 dias (mediana) entre releases
laramies,theHarvester,14941,2336,Python,31,11300,50.5,SLOW,50.5 dias (mediana) entre releases
caronc,apprise,14910,530,Python,56,9500,51,SLOW,51 dias (mediana) entre releases
PuerkitoBio,goquery,14780,927,Go,23,5300,106,SLOW,106 dias (mediana) entre releases
Perfare,AssetStudio,14757,2813,C#,24,2300,73.5,SLOW,73.5 dias (mediana) entre releases
