owner,name,full_name,stargazer_count,fork_count,language,total_releases,avg_release_interval_days,release_type,collaborator_count,sonarqube_analyzed,sonarqube_analyzed_at,bugs,vulnerabilities,code_smells,sqale_index,coverage,duplicated_lines_density,ncloc,complexity,cognitive_complexity,reliability_rating,security_rating,sqale_rating,alert_status
microsoft,qlib,microsoft/qlib,33725,5211,Python,23,51.0,slow,14400,True,2025-11-16T17:30:00.219905,32,0,1593,7261,0.0,5.4,43372,7629,7028,5.0,1.0,1.0,OK
zxing,zxing,zxing/zxing,33695,9428,Java,32,111.0,slow,17900,False,,,,,,,,,,,,,,
beego,beego,beego/beego,32336,5628,Go,42,51.0,slow,52600,True,2025-11-16T17:30:22.107740,0,0,206,4492,0.0,3.7,35991,7747,8264,1.0,1.0,1.0,OK
binarywang,WxJava,binarywang/WxJava,32156,8999,Java,30,89.0,slow,54500,False,,,,,,,,,,,,,,
parallax,jsPDF,parallax/jsPDF,30786,4775,JavaScript,37,52.0,slow,22000,True,2025-11-16T17:31:28.170597,840,0,7840,44496,0.0,14.4,109554,10602,18242,5.0,1.0,1.0,OK
restic,restic,restic/restic,30786,1673,Go,49,55.0,slow,45300,True,2025-11-16T17:31:40.557678,0,0,518,6080,0.0,1.6,65424,10627,11507,1.0,1.0,1.0,OK
nicolargo,glances,nicolargo/glances,30553,1639,Python,54,56.0,slow,21000,True,2025-11-16T17:31:47.266107,276,0,3310,8517,0.0,1.4,22582,4442,4438,3.0,1.0,1.0,OK
apolloconfig,apollo,apolloconfig/apollo,29702,10224,Java,41,51.5,slow,20100,False,,,,,,,,,,,,,,
encode,django-rest-framework,encode/django-rest-framework,29664,7036,Python,21,86.5,slow,145900,True,2025-11-16T17:32:37.849849,35,6,1057,5854,0.0,2.7,41952,5670,4092,5.0,5.0,1.0,OK
spf13,viper,spf13/viper,29559,2085,Go,35,72.0,slow,19000,True,2025-11-16T17:32:12.375760,0,0,65,544,0.0,7.3,5136,790,507,1.0,1.0,1.0,OK
xuxueli,xxl-job,xuxueli/xxl-job,29550,11371,Java,39,54.5,slow,10700,False,,,,,,,,,,,,,,
alibaba,canal,alibaba/canal,29465,7672,Java,32,108.0,slow,24500,False,,,,,,,,,,,,,,
raysan5,raylib,raysan5/raylib,29274,2773,C,24,163.0,slow,83600,True,2025-11-16T17:32:56.282748,1,1,8,21,0.0,0.5,8382,2,0,3.0,3.0,1.0,OK
alibaba,spring-cloud-alibaba,alibaba/spring-cloud-alibaba,28867,8498,Java,50,69.0,slow,21200,False,,,,,,,,,,,,,,
ChartsOrg,Charts,ChartsOrg/Charts,27968,6047,Swift,38,71.0,slow,19000,True,2025-11-16T17:32:45.196392,0,0,0,0,0.0,0.0,0,0,0,1.0,1.0,1.0,OK
gabime,spdlog,gabime/spdlog,27639,4956,C++,44,63.5,slow,44100,True,2025-11-16T17:32:56.853613,0,0,1,5,0.0,0.0,12,2,3,1.0,1.0,1.0,OK
sharkdp,hyperfine,sharkdp/hyperfine,26704,429,Rust,25,73.5,slow,11600,True,2025-11-16T17:33:16.715171,0,0,4,24,0.0,8.2,5552,620,354,1.0,1.0,1.0,OK
cmderdev,cmder,cmderdev/cmder,26644,2079,PowerShell,34,103.5,slow,15700,True,2025-11-16T17:33:19.109110,0,0,0,0,0.0,0.0,0,0,0,1.0,1.0,1.0,OK
nsqio,nsq,nsqio/nsq,25801,2909,Go,31,64.0,slow,14200,True,2025-11-16T17:33:51.013407,3,0,391,2898,0.0,11.8,26022,2998,2844,3.0,1.0,1.0,OK
Modernizr,Modernizr,Modernizr/Modernizr,25667,2963,JavaScript,27,53.5,slow,33400,True,2025-11-16T17:34:14.178646,4,1,1587,11500,0.0,6.9,8716,2352,1346,4.0,4.0,1.0,OK
stretchr,testify,stretchr/testify,25421,1680,Go,25,112.0,slow,31300,True,2025-11-16T17:33:44.011795,0,0,351,2573,0.0,2.6,16491,3341,2357,1.0,1.0,1.0,OK
google,flatbuffers,google/flatbuffers,25030,3426,C++,43,55.0,slow,72400,False,,,,,,,,,,,,,,
goldfire,howler.js,goldfire/howler.js,24985,2272,JavaScript,25,83.0,slow,11100,True,2025-11-16T17:34:11.539464,9,0,223,1059,0.0,8.3,2224,288,105,5.0,1.0,1.0,OK
hashcat,hashcat,hashcat/hashcat,24724,3298,C,28,51.0,slow,21300,True,2025-11-16T17:35:41.431546,232,4,109,580,0.0,3.9,6156,767,739,3.0,4.0,1.0,OK
typesense,typesense,typesense/typesense,24687,829,C++,34,71.0,slow,5200,True,2025-11-16T17:35:02.926604,3,0,233,1102,0.0,34.0,10850,1509,613,3.0,1.0,1.0,OK
apache,skywalking,apache/skywalking,24587,6627,Java,63,53.5,slow,51300,False,,,,,,,,,,,,,,
go-delve,delve,go-delve/delve,24378,2195,Go,37,66.0,slow,26100,True,2025-11-16T20:30:46.098566,1,0,1229,16765,0.0,3.9,94886,20310,24799,C,A,A,OK
cookiecutter,cookiecutter,cookiecutter/cookiecutter,24310,2167,Python,29,85.0,slow,33000,True,2025-11-16T17:35:06.154332,1,2,18,201,0.0,1.0,6296,730,445,4.0,5.0,1.0,OK
heartcombo,devise,heartcombo/devise,24287,5528,Ruby,21,134.0,slow,71000,True,2025-11-16T17:35:29.732230,4,0,135,1387,0.0,1.7,12161,1312,716,3.0,1.0,1.0,OK
usablica,intro.js,usablica/intro.js,23717,2576,TypeScript,41,67.0,slow,12100,True,2025-11-16T17:36:08.858286,50,0,366,2496,0.0,8.8,16032,1553,892,5.0,1.0,1.0,OK
iBotPeaches,Apktool,iBotPeaches/Apktool,23333,3847,Java,27,109.5,slow,12400,False,,,,,,,,,,,,,,
alibaba,Sentinel,alibaba/Sentinel,22986,8147,Java,26,77.0,slow,19800,False,,,,,,,,,,,,,,
chalk,chalk,chalk/chalk,22810,893,JavaScript,32,101.0,slow,6500,True,2025-11-16T17:35:58.288958,2,0,8,37,0.0,0.0,635,114,45,3.0,1.0,1.0,OK
js-cookie,js-cookie,js-cookie/js-cookie,22741,2076,JavaScript,36,66.0,slow,6200,True,2025-11-16T17:36:02.929725,7,0,104,532,0.0,47.3,2134,252,42,3.0,1.0,1.0,OK
MagicMirrorOrg,MagicMirror,MagicMirrorOrg/MagicMirror,22686,4464,JavaScript,49,91.0,slow,35900,True,2025-11-16T17:36:40.165447,10,0,537,3354,0.0,4.8,16265,3235,2497,5.0,1.0,1.0,OK
Tencent,ncnn,Tencent/ncnn,22266,4350,C++,47,63.0,slow,34800,True,2025-11-16T17:37:48.475731,2,0,330,1827,0.0,34.2,38863,6868,6386,3.0,1.0,1.0,OK
apache,rocketmq,apache/rocketmq,22211,11972,Java,22,72.5,slow,68500,False,,,,,,,,,,,,,,
