owner,name,full_name,stargazer_count,fork_count,language,total_releases,avg_release_interval_days,release_type,collaborator_count,sonarqube_analyzed,sonarqube_analyzed_at,bugs,vulnerabilities,code_smells,sqale_index,coverage,duplicated_lines_density,ncloc,complexity,cognitive_complexity,reliability_rating,security_rating,sqale_rating,alert_status
openrazer,openrazer,openrazer/openrazer,4099,594,C,40,101.0,slow,23100,True,2025-11-16T21:50:41.192510,3,0,232,2140,0.0,7.5,12274,2050,2518,3.0,1.0,1.0,OK
praydog,REFramework,praydog/REFramework,4078,436,C++,20,92.0,slow,3800,True,2025-11-16T21:51:27.854084,0,0,51,782,0.0,0.0,1865,319,668,1.0,1.0,1.0,OK
skeeto,w64devkit,skeeto/w64devkit,4069,292,C,33,51.5,slow,900,True,2025-11-16T21:50:53.173633,0,1,216,1075,0.0,0.0,477,0,0,1.0,4.0,2.0,OK
NixOS,patchelf,NixOS/patchelf,4067,510,C,32,136.5,slow,9800,True,2025-11-16T21:51:02.502537,0,0,0,0,0.0,0.0,0,0,0,1.0,1.0,1.0,OK
DiligentGraphics,DiligentEngine,DiligentGraphics/DiligentEngine,4061,367,Batchfile,23,105.5,slow,1300,True,2025-11-16T21:51:11.131872,0,0,5,32,0.0,0.0,250,64,74,1.0,1.0,1.0,OK
s-yadav,react-number-format,s-yadav/react-number-format,4057,419,JavaScript,49,54.0,slow,8300,True,2025-11-16T21:51:50.917801,6,0,162,722,0.0,65.9,19983,786,364,3.0,1.0,1.0,OK
DistroAV,DistroAV,DistroAV/DistroAV,4038,410,C++,39,56.5,slow,5100,True,2025-11-16T21:51:36.825595,0,0,0,0,0.0,0.0,0,0,0,1.0,1.0,1.0,OK
lucaslorentz,caddy-docker-proxy,lucaslorentz/caddy-docker-proxy,4035,202,Go,42,52.0,slow,4100,True,2025-11-16T21:51:48.931188,0,0,55,739,0.0,11.4,3175,474,662,1.0,1.0,1.0,OK
aya-rs,aya,aya-rs/aya,4032,356,Rust,26,77.0,slow,10500,True,2025-11-16T21:52:28.029316,0,0,21,126,0.0,60.1,111796,9486,2722,1.0,1.0,1.0,OK
go-ozzo,ozzo-validation,go-ozzo/ozzo-validation,4027,235,Go,21,68.5,slow,2600,True,2025-11-16T21:52:13.209872,0,0,84,605,0.0,1.5,3548,553,426,1.0,1.0,1.0,OK
Yooooomi,your_spotify,Yooooomi/your_spotify,4020,169,TypeScript,22,66.0,slow,3000,True,2025-11-16T21:56:21.531832,20,0,256,1664,0.0,3.7,19902,2147,835,4.0,1.0,1.0,OK
more-itertools,more-itertools,more-itertools/more-itertools,4004,308,Python,48,68.5,slow,13600,True,2025-11-16T21:52:37.968872,2,0,108,582,0.0,0.0,8936,1734,1184,3.0,1.0,1.0,OK
sindresorhus,p-queue,sindresorhus/p-queue,3984,196,TypeScript,33,56.0,slow,3300,True,2025-11-16T21:52:46.404520,16,0,19,37,0.0,6.0,3000,760,129,3.0,1.0,1.0,OK
apache,age,apache/age,3983,459,C,29,74.5,slow,9100,False,,,,,,,,,,,,,,
rstudio,bookdown,rstudio/bookdown,3979,1276,JavaScript,45,56.5,slow,11400,True,2025-11-16T21:53:19.419341,34,0,1796,14744,0.0,0.7,9572,2672,8321,5.0,1.0,2.0,OK
Gnucash,gnucash,Gnucash/gnucash,3968,884,C,72,56.0,slow,54200,True,2025-11-16T21:54:47.765428,192,1,1661,8089,0.0,24.3,46143,8971,6962,5.0,4.0,1.0,OK
patriksimek,vm2,patriksimek/vm2,3954,312,JavaScript,21,54.0,slow,3800,True,2025-11-16T21:53:20.762941,11,0,197,1967,0.0,0.0,5356,1345,1154,5.0,1.0,1.0,OK
stephane,libmodbus,stephane/libmodbus,3947,1888,C,25,142.0,slow,7200,True,2025-11-16T21:53:25.268872,0,0,47,249,0.0,0.0,137,34,45,1.0,1.0,2.0,OK
opensourcepos,opensourcepos,opensourcepos/opensourcepos,3937,2405,PHP,28,118.0,slow,23800,True,2025-11-16T21:56:11.025943,97,4,1963,9226,0.0,3.7,98999,4265,4236,3.0,5.0,1.0,OK
yeoman,yo,yeoman/yo,3930,402,JavaScript,46,53.0,slow,6400,True,2025-11-16T21:53:40.278043,0,0,3,5,0.0,0.0,1256,201,62,1.0,1.0,1.0,OK
linkedin,Burrow,linkedin/Burrow,3921,812,Go,28,89.0,slow,12200,True,2025-11-16T21:54:10.918101,0,0,367,2606,0.0,7.2,11589,1362,1086,1.0,1.0,1.0,OK
jquery,jquery-mousewheel,jquery/jquery-mousewheel,3910,1671,JavaScript,21,60.0,slow,1400,True,2025-11-16T21:54:16.320378,2,0,39,175,0.0,0.0,733,76,55,3.0,1.0,1.0,OK
rusqlite,rusqlite,rusqlite/rusqlite,3899,432,Rust,43,56.0,slow,14200,True,2025-11-16T21:54:20.938771,0,0,7,42,0.0,48.3,39854,3337,1368,1.0,1.0,1.0,OK
picocms,Pico,picocms/Pico,3896,613,PHP,29,70.0,slow,4500,True,2025-11-16T21:54:27.000320,3,0,98,1075,0.0,0.0,1780,533,673,2.0,1.0,1.0,OK
projectM-visualizer,projectm,projectM-visualizer/projectm,3895,421,C++,34,64.0,slow,10000,True,2025-11-16T21:55:10.427390,0,0,0,0,0.0,0.0,33,0,0,1.0,1.0,1.0,OK
icsharpcode,SharpZipLib,icsharpcode/SharpZipLib,3890,1000,C#,20,128.0,slow,6400,True,2025-11-16T21:55:35.833137,311,0,1677,8371,0.0,0.6,35264,26,10,3.0,1.0,1.0,OK
kubernetes-client,java,kubernetes-client/java,3889,2056,Java,56,52.0,slow,18400,False,,,,,,,,,,,,,,
FRRouting,frr,FRRouting/frr,3888,1406,C,75,56.5,slow,71600,True,2025-11-16T22:00:58.380550,89,0,2939,25701,0.0,28.4,241519,22141,28811,5.0,1.0,1.0,OK
moment,moment-timezone,moment/moment-timezone,3878,836,JavaScript,61,62.0,slow,5300,False,,,,,,,,,,,,,,
desandro,draggabilly,desandro/draggabilly,3875,384,JavaScript,26,52.0,slow,600,True,2025-11-16T21:55:41.049325,11,0,33,132,0.0,0.0,795,101,77,3.0,1.0,1.0,OK
francoischalifour,medium-zoom,francoischalifour/medium-zoom,3871,171,JavaScript,21,66.0,slow,1400,True,2025-11-16T21:56:14.700918,13,0,53,328,0.0,2.2,5160,362,134,4.0,1.0,1.0,OK
osm-search,Nominatim,osm-search/Nominatim,3867,781,Python,41,97.0,slow,12000,True,2025-11-16T21:57:11.029040,25,0,250,1718,0.0,1.6,23985,4807,3632,4.0,1.0,1.0,OK
darold,pgbadger,darold/pgbadger,3865,360,Perl,29,109.5,slow,8900,True,2025-11-16T21:56:49.241243,72,0,2286,15091,0.0,1.3,18463,2874,5437,4.0,1.0,1.0,OK
mapnik,mapnik,mapnik/mapnik,3861,832,C++,26,57.0,slow,13600,True,2025-11-16T22:00:26.999265,91,0,3810,23006,0.0,1.2,343442,9995,13244,5.0,1.0,1.0,OK
Dimezis,BlurView,Dimezis/BlurView,3860,363,Java,32,91.0,slow,1000,False,,,,,,,,,,,,,,
picoe,Eto,picoe/Eto,3859,343,C#,39,59.0,slow,7800,True,2025-11-16T21:58:48.434748,0,0,0,0,0.0,0.0,187,0,0,1.0,1.0,1.0,OK
osfans,trime,osfans/trime,3846,422,Kotlin,34,60.0,slow,4000,False,,,,,,,,,,,,,,
webpack,tapable,webpack/tapable,3837,399,JavaScript,27,71.0,slow,3500,True,2025-11-16T21:57:46.364483,2,0,25,450,0.0,2.0,3229,805,210,3.0,1.0,1.0,OK
pika,pika,pika/pika,3835,850,Python,25,80.5,slow,22400,True,2025-11-16T21:58:09.611068,9,41,463,2473,0.0,3.8,20847,3533,1874,5.0,5.0,1.0,OK
django-guardian,django-guardian,django-guardian/django-guardian,3833,585,Python,20,61.0,slow,17800,True,2025-11-16T21:59:16.024641,3,3,124,733,0.0,11.3,9933,1199,752,3.0,5.0,1.0,OK
srsran,srsRAN_4G,srsran/srsRAN_4G,3824,1230,C++,27,89.5,slow,9900,True,2025-11-16T21:59:36.259644,0,0,0,0,0.0,0.0,0,0,0,1.0,1.0,1.0,OK
frangoteam,FUXA,frangoteam/FUXA,3822,1072,TypeScript,42,57.0,slow,5800,True,2025-11-16T22:04:44.187480,313,0,6194,35822,0.0,7.2,87916,16451,16731,5.0,1.0,1.0,OK
apple,swift-log,apple/swift-log,3818,331,Swift,20,106.0,slow,8700,True,2025-11-16T21:59:58.006450,0,0,0,0,0.0,0.0,0,0,0,1.0,1.0,1.0,OK
puckel,docker-airflow,puckel/docker-airflow,3810,564,Shell,39,51.0,slow,3600,True,2025-11-16T22:00:22.292811,0,0,2,10,0.0,0.0,97,0,0,1.0,1.0,1.0,OK
uncss,grunt-uncss,uncss/grunt-uncss,3807,173,HTML,31,55.0,slow,2000,True,2025-11-16T22:00:40.605549,4,0,60,116,0.0,1.8,6916,34,32,3.0,1.0,1.0,OK
pkluz,PKHUD,pkluz/PKHUD,3790,497,Swift,21,96.0,slow,5000,True,2025-11-16T22:00:41.391373,0,0,0,0,0.0,0.0,0,0,0,1.0,1.0,1.0,OK
dremin,RetroBar,dremin/RetroBar,3784,311,C#,23,65.0,slow,6300,True,2025-11-16T22:01:08.426605,0,0,0,0,0.0,0.0,0,0,0,1.0,1.0,1.0,OK
mandiant,flare-floss,mandiant/flare-floss,3780,502,Python,30,125.0,slow,4600,True,2025-11-16T22:01:17.964878,1,0,237,1344,0.0,3.3,5634,979,1284,3.0,1.0,1.0,OK
frejs,fre,frejs/fre,3751,350,TypeScript,21,51.0,slow,7700,True,2025-11-16T22:02:01.466467,48,0,4421,27127,0.0,4.0,23693,6126,8593,5.0,1.0,1.0,OK
